,Name,Type,FrequentWord
0,Harrisburg Family House,Food services,"[('food', 78), ('good', 75), ('breakfast', 36), ('service', 33), ('great', 32), ('like', 32), ('restaurant', 30), ('family', 29), ('wait', 26), ('time', 23), ('harrisburg', 23), ('eat', 19), ('waitress', 16), ('busy', 15), ('menu', 15)]"
1,Captain Steve's,Food services,"[('food', 46), ('good', 42), ('seafood', 34), ('shrimp', 28), ('fried', 26), ('great', 25), ('like', 24), ('service', 23), ('platter', 18), ('portions', 17), ('crab', 16), ('huge', 15), ('order', 15), ('lot', 15), ('salad', 14)]"
2,Three Monkeys Tavern and Grill,Food services,"[('food', 29), ('good', 26), ('bar', 15), ('burger', 12), ('great', 11), ('service', 11), ('like', 10), ('local', 9), ('time', 9), ('bad', 8), ('beer', 8), ('night', 8), ('wait', 6), ('love', 6), ('hot', 6)]"
3,FastMed Urgent Care,Medical services,"[('service', 5), ('friendly', 4), ('staff', 3), ('facility', 3), ('fast', 3), ('pa', 3), ('infection', 3), ('ear', 3), ('kind', 3), ('clean', 3), ('time', 3), ('office', 2), ('knowledgeable', 2), ('going', 2), ('weeks', 2)]"
4,VIP Dominican Beauty Salon,Grooming services,"[('hair', 33), ('salon', 13), ('did', 9), (""didn't"", 7), ('set', 7), ('roller', 7), ('conditioner', 7), ('dominican', 7), ('told', 6), ('good', 6), ('marlyn', 6), ('wanted', 6), ('like', 6), ('try', 5), ('great', 5)]"
5,49'ers Barber Shop,Grooming services,"[('haircut', 6), ('cut', 4), ('roddie', 4), ('time', 4), ('fade', 3), ('best', 3), ('barbershop', 3), (""roddie's"", 3), ('area', 3), ('places', 3), ('straight', 3), ('barber', 3), ('man', 3), ('shop', 2), ('manager', 2)]"
6,In Style Salon,Grooming services,"[('salon', 10), ('great', 7), ('hair', 6), ('style', 6), ('melissa', 4), ('stylist', 3), ('looking', 2), ('needed', 2), ('new', 2), ('jessica', 2), ('took', 2), ('understanding', 2), ('having', 2), ('schedule,she', 1), ('think', 1)]"
7,Flanagan's on Main,Bars and lounges,"[('food', 27), ('great', 20), ('good', 16), ('service', 12), ('beer', 10), ('irish', 10), ('came', 9), ('nice', 9), ('love', 8), ('patio', 8), ('little', 8), ('staff', 8), ('like', 8), ('mash', 8), ('portion', 8)]"
8,49 Yardline,Bars and lounges,"[('food', 11), ('burger', 9), ('great', 8), ('local', 7), ('good', 7), ('harrisburg', 7), ('burgers', 6), ('service', 5), ('friendly', 4), ('like', 4), ('ribs', 4), ('beer', 4), ('selection', 3), ('topped', 3), ('locals', 3)]"
9,Frankie & Louie's,Entertainment services,"[('food', 4), ('meal', 4), ('frankie', 2), ('staff', 2), ('going', 2), ('good', 2), ('big', 2), ('lunch', 2), ('try', 2), ('gluten-free', 2), ('table', 2), ('little', 2), ('service', 2), ('filet', 2), ('trip', 2)]"
10,Second Look Books,"Shops, stores and markets","[('books', 15), ('great', 8), ('store', 5), ('credit', 4), ('love', 4), ('staff', 3), ('friendly', 3), ('exchange', 3), ('buy', 3), ('glad', 3), ('book', 3), ('collection', 3), ('program', 2), ('local', 2), ('fat', 2)]"
11,Everything iPhonez,IT services,"[('screen', 13), ('iphone', 13), ('phone', 9), ('iphonez', 8), ('fixed', 8), ('mo', 8), ('cracked', 6), ('fix', 5), ('repairs', 5), ('great', 5), ('repair', 5), ('recommend', 5), ('apple', 4), ('make', 4), ('sure', 4)]"
12,A Fancy Pup,Pet services,"[('took', 6), ('dog', 6), ('like', 4), ('did', 4), ('let', 4), (""don't"", 3), ('cut', 3), ('lady', 3), ('black', 3), ('know', 3), ('hair', 3), ('red', 3), ('business', 3), ('nails', 3), ('little', 3)]"
13,Mini-Xtreme of Harrisburg,Automobile parts and supplies,"[('oil', 13), ('change', 5), ('inspection', 4), ('car', 4), ('work', 4), ('need', 4), ('going', 3), ('quick', 3), ('waiting', 3), ('plug', 3), ('service', 3), (""don't"", 2), ('actually', 2), (""i've"", 2), ('worst', 2)]"
14,Pep Boys,Automobile parts and supplies,"[('oil', 10), ('change', 9), ('long', 6), ('pep', 5), ('boys', 5), ('time', 5), ('manager', 4), ('staff', 4), ('hours', 4), ('clients', 4), ('car', 4), ('appointment', 3), ('harrisburg', 3), ('right', 3), ('free', 3)]"
15,Autobell Car Wash,handyman services,"[('car', 24), ('manager', 7), ('auto', 7), ('wash', 7), ('good', 6), ('inside', 6), ('location', 5), ('wipe', 5), ('dirt', 5), ('horrible', 5), ('bell', 5), ('work', 5), ('money', 4), ('looks', 4), (""doesn't"", 4)]"
